concept_name,concept_code,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,target_concept_id,relationship_id,reverese_relationship_id,concept_name_con,domain_id,vocab_id,concept_class_id,standard
Emergency Department,Emergency Department,2000001901,mimiciv_cs_place_of_service,Visit,Visit,8870,Maps to,Mapped from,Emergency Room - Hospital,Visit,CMS Place of Service,Visit,S
Medicine,Medicine,2000001902,mimiciv_cs_place_of_service,Visit,Visit,38004515,Maps to,Mapped from,Hospital,Visit,Medicare Specialty,Visit,S
Emergency Department Observation,Emergency Department Observation,2000001903,mimiciv_cs_place_of_service,Visit,Visit,8870,Maps to,Mapped from,Emergency Room - Hospital,Visit,CMS Place of Service,Visit,S
Nursery - Well Babies,Nursery - Well Babies,2000001904,mimiciv_cs_place_of_service,Visit,Visit,4160140,Maps to,Mapped from,Newborn nursery unit,Observation,SNOMED,Location,S
Medicine/Cardiology,Medicine/Cardiology,2000001905,mimiciv_cs_place_of_service,Visit,Visit,581383,Maps to,Mapped from,Inpatient Cardiac Care Facility,Visit,CMS Place of Service,Visit,S
"Ultralente Insulin, Human 100 UNT/ML [Humulin U Ultralente]",Ultralente Humulin Insulin 100 units per ml,2000010001,mimiciv_drug_ndc,Drug,Prescription Drug,19120831,Maps to,Mapped from,"ultralente insulin, human 100 UNT/ML [Humulin U Ultralente]",Drug,RxNorm,Branded Drug Comp,S
Vitamin B 12 0.5 MG/ACTUAT Nasal Spray [Nascobal],Nascobal 500mcg,2000010002,mimiciv_drug_ndc,Drug,Prescription Drug,40165411,Maps to,Mapped from,vitamin B12 0.5 MG/ACTUAT Nasal Spray [Nascobal],Drug,RxNorm,Branded Drug,S
Brimonidine tartrate 2 MG/ML / Timolol 5 MG/ML [Combigan],Combigan 0.2-0.5%,2000010003,mimiciv_drug_ndc,Drug,Prescription Drug,40164140,Maps to,Mapped from,brimonidine tartrate 2 MG/ML / timolol 5 MG/ML [Combigan],Drug,RxNorm,Branded Drug Comp,S
2.5 ML defibrotide sodium 80 MG/ML Injection,Defibrotide <IND> 80 mg / mL - 2.5 mL Amp,2000010004,mimiciv_drug_ndc,Drug,Prescription Drug,35603976,Maps to,Mapped from,2.5 ML defibrotide sodium 80 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S
Budesonide 0.5 MG/ML,Budesonide (Nasal) 0.5mg,2000010005,mimiciv_drug_ndc,Drug,Prescription Drug,939422,Maps to,Mapped from,budesonide 0.5 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Carbidopa Oral Tablet [Lodosyn],Lodosyn 5O MG,2000010006,mimiciv_drug_ndc,Drug,Prescription Drug,40021550,Maps to,Mapped from,carbidopa Oral Tablet [Lodosyn],Drug,RxNorm,Branded Drug Form,S
Acetylcysteine 100 MG/ML,acetylcysteine 100 mg/ml,2000010007,mimiciv_drug_ndc,Drug,Prescription Drug,19095712,Maps to,Mapped from,acetylcysteine 100 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Budesonide 0.25 MG/ML,budesonide 0.5 mg/2 mL Neb Suspension,2000010008,mimiciv_drug_ndc,Drug,Prescription Drug,939398,Maps to,Mapped from,budesonide 0.25 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Maprotiline,Maprotiline HCl 100,2000010009,mimiciv_drug_ndc,Drug,Prescription Drug,794147,Maps to,Mapped from,maprotiline,Drug,RxNorm,Ingredient,S
budesonide,Pulmicort ea,2000010010,mimiciv_drug_ndc,Drug,Prescription Drug,939259,Maps to,Mapped from,budesonide,Drug,RxNorm,Ingredient,S
ezetimibe 10 MG / Simvastatin 20 MG [Vytorin],Vytorin 10/20 1,2000010011,mimiciv_drug_ndc,Drug,Prescription Drug,42706204,Maps to,Mapped from,ezetimibe 10 MG / simvastatin 20 MG [Vytorin],Drug,RxNorm,Branded Drug Comp,S
rosuvastatin Oral Tablet [Crestor],Crestor ROSUVASTATIN,2000010012,mimiciv_drug_ndc,Drug,Prescription Drug,40099654,Maps to,Mapped from,rosuvastatin Oral Tablet [Crestor],Drug,RxNorm,Branded Drug Form,S
Thrombin,"Thrombin 5,000 units",2000010013,mimiciv_drug_ndc,Drug,Prescription Drug,1300673,Maps to,Mapped from,thrombin,Drug,RxNorm,Ingredient,S
Loratadine 10 MG Oral Tablet [Claritin],Claritin 10 mg tablet,2000010014,mimiciv_drug_ndc,Drug,Prescription Drug,19033500,Maps to,Mapped from,loratadine 10 MG Oral Tablet [Claritin],Drug,RxNorm,Branded Drug,S
Acetylcysteine 200 MG/ML,Acetylcysteine 20% 30ml Vial,2000010015,mimiciv_drug_ndc,Drug,Prescription Drug,19093622,Maps to,Mapped from,acetylcysteine 200 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
prednisolone acetate 10 MG/ML,"Prednisolone Acetate 1 % Eye Drops, Susp",2000010016,mimiciv_drug_ndc,Drug,Prescription Drug,43526394,Maps to,Mapped from,prednisolone acetate 10 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
24 HR desvenlafaxine succinate 50 MG Extended Release Oral Tablet [Pristiq],Pristiq 50 mg 24 hr Tab,2000010017,mimiciv_drug_ndc,Drug,Prescription Drug,19129683,Maps to,Mapped from,24 HR desvenlafaxine succinate 50 MG Extended Release Oral Tablet [Pristiq],Drug,RxNorm,Quant Branded Drug,S
bosentan 125 MG Oral Tablet [Tracleer],Tracleer 125,2000010018,mimiciv_drug_ndc,Drug,Prescription Drug,19124851,Maps to,Mapped from,bosentan 125 MG Oral Tablet [Tracleer],Drug,RxNorm,Branded Drug,S
Phenytoin sodium 100 MG Oral Capsule,Phenytoin Sodium **Brand Name ONLY** 100 mg/4 mL Oral Susp,2000010019,mimiciv_drug_ndc,Drug,Prescription Drug,40163210,Maps to,Mapped from,phenytoin sodium 100 MG Oral Capsule,Drug,RxNorm,Clinical Drug,S
